detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_100.0,1,1,TP,0.224803,0.171,104.4
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_100.0,1,1,TP,,2.020,17.1
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_100.0,1,1,TP,,1.442,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_100.0,1,0,FN,,8.430,19.1
PSI,CO2_percent_in_off_gas::batch_93.0_vs_batch_91.0,1,1,TP,3.19442,0.330,14.0
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_91.0,1,1,TP,0.613267,0.406,110.9
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_91.0,1,1,TP,,1.240,9.5
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_91.0,1,1,TP,,1.591,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_91.0,1,0,FN,,9.585,21.2
PSI,CO2_percent_in_off_gas::batch_93.0_vs_batch_94.0,1,1,TP,1.28256,0.660,12.9
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_94.0,1,1,TP,0.44824,0.195,104.4
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_94.0,1,1,TP,,1.238,17.2
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_94.0,1,1,TP,,1.457,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_94.0,1,0,FN,,8.614,19.1
PSI,CO2_percent_in_off_gas::batch_93.0_vs_batch_95.0,1,1,TP,9.88923,0.325,12.2
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_95.0,1,1,TP,0.60715,0.345,99.9
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_95.0,1,1,TP,,1.458,10.4
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_95.0,1,1,TP,,1.753,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_95.0,1,0,FN,,10.747,17.6
PSI,CO2_percent_in_off_gas::batch_93.0_vs_batch_96.0,1,1,TP,0.196391,0.410,12.9
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_96.0,1,1,TP,0.147785,0.264,104.4
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_96.0,1,1,TP,,1.639,28.3
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_96.0,1,1,TP,,1.422,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_96.0,1,0,FN,,8.429,19.1
PSI,CO2_percent_in_off_gas::batch_93.0_vs_batch_97.0,1,1,TP,1.57459,0.343,12.8
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_97.0,1,1,TP,0.220508,0.196,103.2
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_97.0,1,1,TP,,1.819,14.0
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_97.0,1,1,TP,,1.343,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_97.0,1,0,FN,,8.304,18.7
PSI,CO2_percent_in_off_gas::batch_93.0_vs_batch_98.0,1,0,FN,0.0728345,0.342,12.9
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_98.0,1,1,TP,0.155321,0.440,104.4
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_98.0,1,1,TP,,1.404,24.8
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_98.0,1,1,TP,,1.370,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_98.0,1,0,FN,,9.568,19.1
PSI,CO2_percent_in_off_gas::batch_93.0_vs_batch_99.0,1,1,TP,1.33682,0.301,13.8
KS,CO2_percent_in_off_gas::batch_93.0_vs_batch_99.0,1,1,TP,0.411205,0.194,109.3
ADWIN,CO2_percent_in_off_gas::batch_93.0_vs_batch_99.0,1,1,TP,,1.268,17.3
PageHinkley,CO2_percent_in_off_gas::batch_93.0_vs_batch_99.0,1,1,TP,,1.570,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_vs_batch_99.0,1,0,FN,,10.079,20.7
PSI,CO2_percent_in_off_gas::batch_100.0_selfsplit,0,1,FP,4.75236,0.337,8.5
KS,CO2_percent_in_off_gas::batch_100.0_selfsplit,0,1,FP,0.42087,0.203,55.1
ADWIN,CO2_percent_in_off_gas::batch_100.0_selfsplit,0,1,FP,,0.559,7.8
PageHinkley,CO2_percent_in_off_gas::batch_100.0_selfsplit,0,0,TN,,0.760,0.8
HDDM-A,CO2_percent_in_off_gas::batch_100.0_selfsplit,0,0,TN,,0.577,10.1
PSI,CO2_percent_in_off_gas::batch_91.0_selfsplit,0,1,FP,8.48768,0.390,9.0
KS,CO2_percent_in_off_gas::batch_91.0_selfsplit,0,1,FP,0.575194,0.229,61.7
ADWIN,CO2_percent_in_off_gas::batch_91.0_selfsplit,0,1,FP,,1.183,9.6
PageHinkley,CO2_percent_in_off_gas::batch_91.0_selfsplit,0,0,TN,,1.189,0.8
HDDM-A,CO2_percent_in_off_gas::batch_91.0_selfsplit,0,0,TN,,0.549,11.2
PSI,CO2_percent_in_off_gas::batch_94.0_selfsplit,0,1,FP,5.95716,0.366,8.5
KS,CO2_percent_in_off_gas::batch_94.0_selfsplit,0,1,FP,0.452174,0.167,55.1
ADWIN,CO2_percent_in_off_gas::batch_94.0_selfsplit,0,1,FP,,0.943,7.9
PageHinkley,CO2_percent_in_off_gas::batch_94.0_selfsplit,0,0,TN,,1.777,0.8
HDDM-A,CO2_percent_in_off_gas::batch_94.0_selfsplit,0,0,TN,,0.917,10.1
PSI,CO2_percent_in_off_gas::batch_95.0_selfsplit,0,1,FP,11.3252,0.585,8.1
