detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
KDQ-Tree,multivariate::batch_93.0_vs_batch_95.0,1,1,TP,0.988571,302.415,130085.4
MMD-default,multivariate::batch_93.0_vs_batch_96.0,1,0,FN,0.00181397,39.308,47264.0
MMD-median,multivariate::batch_93.0_vs_batch_96.0,1,1,TP,0.13517,48.838,47264.5
PCA-CD,multivariate::batch_93.0_vs_batch_96.0,1,1,TP,1.50301e+08,0.776,144.3
KDQ-Tree,multivariate::batch_93.0_vs_batch_96.0,1,1,TP,1,311.983,141774.9
MMD-default,multivariate::batch_93.0_vs_batch_97.0,1,0,FN,0.00183285,38.936,46204.2
MMD-median,multivariate::batch_93.0_vs_batch_97.0,1,1,TP,0.0699771,46.511,46204.7
PCA-CD,multivariate::batch_93.0_vs_batch_97.0,1,1,TP,6.19673e+07,0.729,141.6
KDQ-Tree,multivariate::batch_93.0_vs_batch_97.0,1,1,TP,1,326.608,138698.7
MMD-default,multivariate::batch_93.0_vs_batch_98.0,1,0,FN,0.00181474,45.145,47264.0
MMD-median,multivariate::batch_93.0_vs_batch_98.0,1,1,TP,0.0803312,48.336,47264.5
PCA-CD,multivariate::batch_93.0_vs_batch_98.0,1,1,TP,5.18293e+07,0.726,144.3
KDQ-Tree,multivariate::batch_93.0_vs_batch_98.0,1,1,TP,1,339.776,141774.9
MMD-default,multivariate::batch_93.0_vs_batch_99.0,1,0,FN,0.00174941,51.224,51821.7
MMD-median,multivariate::batch_93.0_vs_batch_99.0,1,1,TP,0.211156,54.048,51822.2
PCA-CD,multivariate::batch_93.0_vs_batch_99.0,1,1,TP,3.58654e+08,0.813,151.1
KDQ-Tree,multivariate::batch_93.0_vs_batch_99.0,1,1,TP,1,300.620,154694.8
MMD-default,multivariate::batch_100.0_selfsplit,0,0,TN,0.0034788,7.861,12924.7
MMD-median,multivariate::batch_100.0_selfsplit,0,1,FP,0.395432,21.072,29394.5
PCA-CD,multivariate::batch_100.0_selfsplit,0,1,FP,7.68345e+08,0.564,105.4
KDQ-Tree,multivariate::batch_100.0_selfsplit,0,1,FP,1,135.958,38923.3
MMD-default,multivariate::batch_91.0_selfsplit,0,0,TN,0.00310121,11.565,16261.8
MMD-median,multivariate::batch_91.0_selfsplit,0,1,FP,0.306587,19.713,29394.5
PCA-CD,multivariate::batch_91.0_selfsplit,0,1,FP,2.0595e+07,1.407,118.0
KDQ-Tree,multivariate::batch_91.0_selfsplit,0,1,FP,1,164.901,48944.8
MMD-default,multivariate::batch_94.0_selfsplit,0,0,TN,0.00348067,11.653,12924.7
MMD-median,multivariate::batch_94.0_selfsplit,0,1,FP,0.354445,25.444,29394.5
PCA-CD,multivariate::batch_94.0_selfsplit,0,1,FP,5.02092e+08,0.524,105.4
KDQ-Tree,multivariate::batch_94.0_selfsplit,0,1,FP,1,137.331,38923.3
MMD-default,multivariate::batch_95.0_selfsplit,0,0,TN,0.0037919,7.664,10878.3
MMD-median,multivariate::batch_95.0_selfsplit,0,1,FP,0.396146,20.039,29394.5
PCA-CD,multivariate::batch_95.0_selfsplit,0,1,FP,4.47228e+08,0.535,97.0
