detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
ADWIN,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,2.959,9.2
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,2.773,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,8.308,21.2
PSI,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,9.28659,0.360,12.9
KS,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,0.577143,0.156,104.4
ADWIN,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,1.063,7.8
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,1.289,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,8.872,19.1
PSI,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,10.4272,0.268,12.2
KS,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,0.611429,0.159,99.9
ADWIN,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,0.998,9.1
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,1.220,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,9.165,17.6
PSI,penicillin_concentration::batch_93.0_vs_batch_96.0,1,1,TP,0.897324,0.271,12.9
KS,penicillin_concentration::batch_93.0_vs_batch_96.0,1,1,TP,0.169524,0.148,104.4
ADWIN,penicillin_concentration::batch_93.0_vs_batch_96.0,1,1,TP,,1.096,9.2
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_96.0,1,1,TP,,1.388,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_96.0,1,1,TP,,7.523,19.1
PSI,penicillin_concentration::batch_93.0_vs_batch_97.0,1,1,TP,5.16667,0.266,12.8
KS,penicillin_concentration::batch_93.0_vs_batch_97.0,1,1,TP,0.334286,0.192,103.2
ADWIN,penicillin_concentration::batch_93.0_vs_batch_97.0,1,1,TP,,1.169,9.0
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_97.0,1,1,TP,,1.316,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_97.0,1,1,TP,,7.470,18.7
PSI,penicillin_concentration::batch_93.0_vs_batch_98.0,1,0,FN,0.0865239,0.261,12.9
KS,penicillin_concentration::batch_93.0_vs_batch_98.0,1,1,TP,0.162609,0.154,104.4
ADWIN,penicillin_concentration::batch_93.0_vs_batch_98.0,1,1,TP,,1.122,7.4
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_98.0,1,1,TP,,1.328,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_98.0,1,1,TP,,7.280,19.1
PSI,penicillin_concentration::batch_93.0_vs_batch_99.0,1,1,TP,9.13389,0.289,13.8
KS,penicillin_concentration::batch_93.0_vs_batch_99.0,1,1,TP,0.559048,0.184,109.3
ADWIN,penicillin_concentration::batch_93.0_vs_batch_99.0,1,1,TP,,1.149,7.8
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_99.0,1,1,TP,,1.488,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_99.0,1,1,TP,,8.216,20.7
PSI,penicillin_concentration::batch_100.0_selfsplit,0,1,FP,8.37072,0.228,8.5
KS,penicillin_concentration::batch_100.0_selfsplit,0,1,FP,0.486957,0.122,55.1
ADWIN,penicillin_concentration::batch_100.0_selfsplit,0,1,FP,,0.635,5.9
PageHinkley,penicillin_concentration::batch_100.0_selfsplit,0,0,TN,,0.661,0.8
HDDM-A,penicillin_concentration::batch_100.0_selfsplit,0,0,TN,,0.398,10.1
PSI,penicillin_concentration::batch_91.0_selfsplit,0,1,FP,12.0057,0.243,9.0
KS,penicillin_concentration::batch_91.0_selfsplit,0,1,FP,0.451163,0.143,61.7
ADWIN,penicillin_concentration::batch_91.0_selfsplit,0,1,FP,,0.634,6.0
PageHinkley,penicillin_concentration::batch_91.0_selfsplit,0,0,TN,,0.767,0.8
HDDM-A,penicillin_concentration::batch_91.0_selfsplit,0,0,TN,,0.364,11.2
PSI,penicillin_concentration::batch_94.0_selfsplit,0,1,FP,8.79161,0.193,8.5
KS,penicillin_concentration::batch_94.0_selfsplit,0,1,FP,0.52,0.127,55.1
ADWIN,penicillin_concentration::batch_94.0_selfsplit,0,1,FP,,0.606,6.0
PageHinkley,penicillin_concentration::batch_94.0_selfsplit,0,0,TN,,0.648,0.8
HDDM-A,penicillin_concentration::batch_94.0_selfsplit,0,0,TN,,0.298,10.1
PSI,penicillin_concentration::batch_95.0_selfsplit,0,1,FP,10.4892,0.184,8.1
KS,penicillin_concentration::batch_95.0_selfsplit,0,1,FP,0.611009,0.117,50.7
ADWIN,penicillin_concentration::batch_95.0_selfsplit,0,1,FP,,0.508,7.7
PageHinkley,penicillin_concentration::batch_95.0_selfsplit,0,0,TN,,0.619,0.8
HDDM-A,penicillin_concentration::batch_95.0_selfsplit,0,0,TN,,0.287,9.4
PSI,penicillin_concentration::batch_96.0_selfsplit,0,1,FP,31.9659,0.215,8.5
KS,penicillin_concentration::batch_96.0_selfsplit,0,1,FP,1,0.105,55.1
ADWIN,penicillin_concentration::batch_96.0_selfsplit,0,1,FP,,0.508,7.8
PageHinkley,penicillin_concentration::batch_96.0_selfsplit,0,1,FP,,0.722,0.8
HDDM-A,penicillin_concentration::batch_96.0_selfsplit,0,0,TN,,4.079,10.1
PSI,penicillin_concentration::batch_97.0_selfsplit,0,1,FP,32.5268,0.198,8.4
KS,penicillin_concentration::batch_97.0_selfsplit,0,1,FP,1,0.120,54.0
ADWIN,penicillin_concentration::batch_97.0_selfsplit,0,1,FP,,0.691,7.7
PageHinkley,penicillin_concentration::batch_97.0_selfsplit,0,1,FP,,0.754,0.8
HDDM-A,penicillin_concentration::batch_97.0_selfsplit,0,0,TN,,7.675,9.9
PSI,penicillin_concentration::batch_98.0_selfsplit,0,1,FP,31.3445,0.366,8.5
KS,penicillin_concentration::batch_98.0_selfsplit,0,1,FP,1,0.151,55.1
ADWIN,penicillin_concentration::batch_98.0_selfsplit,0,1,FP,,0.574,7.7
PageHinkley,penicillin_concentration::batch_98.0_selfsplit,0,1,FP,,0.701,0.8
HDDM-A,penicillin_concentration::batch_98.0_selfsplit,0,0,TN,,4.124,10.1
PSI,penicillin_concentration::batch_99.0_selfsplit,0,1,FP,11.25,0.228,8.9
KS,penicillin_concentration::batch_99.0_selfsplit,0,1,FP,0.441786,0.110,60.1
ADWIN,penicillin_concentration::batch_99.0_selfsplit,0,1,FP,,0.551,6.0
PageHinkley,penicillin_concentration::batch_99.0_selfsplit,0,0,TN,,0.716,0.8
HDDM-A,penicillin_concentration::batch_99.0_selfsplit,0,0,TN,,0.331,10.9
