detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_100.0,1,1,TP,0.255611,0.177,104.4
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_100.0,1,1,TP,,6.489,31.7
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_100.0,1,1,TP,,1.368,0.7
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_100.0,1,0,FN,,7.600,19.1
PSI,dissolved_oxygen_concentration::batch_93.0_vs_batch_91.0,1,1,TP,1.06728,0.276,14.0
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_91.0,1,1,TP,0.422436,0.174,110.9
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,1.351,19.5
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,1.474,0.8
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,5.121,21.2
PSI,dissolved_oxygen_concentration::batch_93.0_vs_batch_94.0,1,1,TP,1.35011,0.242,12.9
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_94.0,1,1,TP,0.437474,0.208,104.4
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,1.249,17.6
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,1.483,0.8
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,7.373,19.1
PSI,dissolved_oxygen_concentration::batch_93.0_vs_batch_95.0,1,1,TP,1.46279,0.221,12.2
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_95.0,1,1,TP,0.482817,0.186,99.9
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,1.270,20.2
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,1.204,0.8
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,3.268,17.6
PSI,dissolved_oxygen_concentration::batch_93.0_vs_batch_96.0,1,1,TP,2.31002,0.215,12.9
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_96.0,1,1,TP,0.502029,0.172,104.4
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_96.0,1,1,TP,,1.236,17.1
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_96.0,1,1,TP,,1.329,0.8
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_96.0,1,0,FN,,7.212,19.1
PSI,dissolved_oxygen_concentration::batch_93.0_vs_batch_97.0,1,1,TP,1.92277,0.265,12.8
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_97.0,1,1,TP,0.439111,0.155,103.2
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_97.0,1,1,TP,,1.146,15.2
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_97.0,1,1,TP,,1.323,0.8
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_97.0,1,0,FN,,5.701,18.7
PSI,dissolved_oxygen_concentration::batch_93.0_vs_batch_98.0,1,1,TP,1.9527,0.259,12.9
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_98.0,1,1,TP,0.420952,0.183,104.4
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_98.0,1,1,TP,,1.201,17.0
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_98.0,1,1,TP,,1.351,0.8
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_98.0,1,1,TP,,3.982,19.1
PSI,dissolved_oxygen_concentration::batch_93.0_vs_batch_99.0,1,1,TP,2.98667,0.236,13.8
KS,dissolved_oxygen_concentration::batch_93.0_vs_batch_99.0,1,1,TP,0.250594,0.175,109.3
ADWIN,dissolved_oxygen_concentration::batch_93.0_vs_batch_99.0,1,1,TP,,1.256,14.6
PageHinkley,dissolved_oxygen_concentration::batch_93.0_vs_batch_99.0,1,1,TP,,1.477,0.8
HDDM-A,dissolved_oxygen_concentration::batch_93.0_vs_batch_99.0,1,0,FN,,8.783,20.7
PSI,dissolved_oxygen_concentration::batch_100.0_selfsplit,0,1,FP,2.60362,0.251,8.5
KS,dissolved_oxygen_concentration::batch_100.0_selfsplit,0,1,FP,0.30087,0.182,55.1
ADWIN,dissolved_oxygen_concentration::batch_100.0_selfsplit,0,1,FP,,0.547,10.6
PageHinkley,dissolved_oxygen_concentration::batch_100.0_selfsplit,0,0,TN,,1.288,0.8
HDDM-A,dissolved_oxygen_concentration::batch_100.0_selfsplit,0,0,TN,,2.034,10.1
PSI,dissolved_oxygen_concentration::batch_91.0_selfsplit,0,1,FP,5.35271,0.315,9.0
KS,dissolved_oxygen_concentration::batch_91.0_selfsplit,0,1,FP,0.381395,0.159,61.7
ADWIN,dissolved_oxygen_concentration::batch_91.0_selfsplit,0,1,FP,,0.826,15.2
PageHinkley,dissolved_oxygen_concentration::batch_91.0_selfsplit,0,1,FP,,0.756,0.8
HDDM-A,dissolved_oxygen_concentration::batch_91.0_selfsplit,0,1,FP,,3.346,11.2
PSI,dissolved_oxygen_concentration::batch_94.0_selfsplit,0,1,FP,7.78492,0.282,8.5
KS,dissolved_oxygen_concentration::batch_94.0_selfsplit,0,1,FP,0.406957,0.152,55.1
ADWIN,dissolved_oxygen_concentration::batch_94.0_selfsplit,0,1,FP,,1.398,10.8
PageHinkley,dissolved_oxygen_concentration::batch_94.0_selfsplit,0,0,TN,,1.917,0.8
HDDM-A,dissolved_oxygen_concentration::batch_94.0_selfsplit,0,0,TN,,4.476,10.1
PSI,dissolved_oxygen_concentration::batch_95.0_selfsplit,0,1,FP,8.75387,0.532,8.1
KS,dissolved_oxygen_concentration::batch_95.0_selfsplit,0,1,FP,0.425227,0.332,50.7
ADWIN,dissolved_oxygen_concentration::batch_95.0_selfsplit,0,1,FP,,1.209,12.3
PageHinkley,dissolved_oxygen_concentration::batch_95.0_selfsplit,0,0,TN,,1.328,0.8
HDDM-A,dissolved_oxygen_concentration::batch_95.0_selfsplit,0,0,TN,,1.041,9.3
PSI,dissolved_oxygen_concentration::batch_96.0_selfsplit,0,1,FP,6.22686,0.415,8.5
KS,dissolved_oxygen_concentration::batch_96.0_selfsplit,0,1,FP,0.426087,0.318,55.1
ADWIN,dissolved_oxygen_concentration::batch_96.0_selfsplit,0,1,FP,,1.422,10.6
PageHinkley,dissolved_oxygen_concentration::batch_96.0_selfsplit,0,1,FP,,1.725,0.8
HDDM-A,dissolved_oxygen_concentration::batch_96.0_selfsplit,0,1,FP,,6.830,10.1
PSI,dissolved_oxygen_concentration::batch_97.0_selfsplit,0,1,FP,12.2568,0.383,8.4
KS,dissolved_oxygen_concentration::batch_97.0_selfsplit,0,1,FP,0.736942,0.186,54.0
ADWIN,dissolved_oxygen_concentration::batch_97.0_selfsplit,0,1,FP,,0.626,10.7
PageHinkley,dissolved_oxygen_concentration::batch_97.0_selfsplit,0,1,FP,,0.811,0.8
HDDM-A,dissolved_oxygen_concentration::batch_97.0_selfsplit,0,1,FP,,2.736,9.9
PSI,dissolved_oxygen_concentration::batch_98.0_selfsplit,0,1,FP,10.366,0.247,8.5
KS,dissolved_oxygen_concentration::batch_98.0_selfsplit,0,1,FP,0.65913,0.125,55.1
ADWIN,dissolved_oxygen_concentration::batch_98.0_selfsplit,0,1,FP,,0.735,24.9
PageHinkley,dissolved_oxygen_concentration::batch_98.0_selfsplit,0,1,FP,,0.704,0.8
HDDM-A,dissolved_oxygen_concentration::batch_98.0_selfsplit,0,0,TN,,2.689,10.1
PSI,dissolved_oxygen_concentration::batch_99.0_selfsplit,0,1,FP,1.6354,0.244,8.9
KS,dissolved_oxygen_concentration::batch_99.0_selfsplit,0,1,FP,0.335068,0.123,60.1
ADWIN,dissolved_oxygen_concentration::batch_99.0_selfsplit,0,1,FP,,0.697,19.9
PageHinkley,dissolved_oxygen_concentration::batch_99.0_selfsplit,0,1,FP,,0.765,0.8
HDDM-A,dissolved_oxygen_concentration::batch_99.0_selfsplit,0,0,TN,,3.622,10.9
